Unnamed: 0,realSum,room_type,room_private,person_capacity,host_is_superhost,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index_norm,rest_index_norm
966,243.55468293481056,Entire home/apt,False,3.0,True,10.0,95.0,1,1.6152898064834538,0.5904359426388861,10.762994362335812,5.259980178051061
967,119.67370217142324,Entire home/apt,False,2.0,False,8.0,84.0,0,2.658398194536697,0.2343019761452812,7.396721373134289,3.7648369834897206
968,148.42343921651124,Entire home/apt,False,3.0,False,9.0,98.0,1,4.441727053918695,0.2224540612717512,4.192604236404826,1.8848357387351795
969,92.79386672276372,Private room,True,2.0,True,10.0,97.0,1,8.01082687444911,1.7918198810955523,3.0587154693867964,1.1856883412467811
970,149.59212771427903,Private room,True,2.0,False,9.0,90.0,1,4.567120575654627,1.31470275184818,3.860230786881667,1.9659211803551333
971,150.76081621204685,Entire home/apt,False,2.0,False,8.0,80.0,2,6.941032486729483,2.3885355974520186,3.2605097546195165,1.3111885564348482
972,119.67370217142324,Entire home/apt,False,2.0,False,8.0,85.0,0,2.707007810850393,0.225652497041323,7.304025963553045,3.7222249098223914
973,196.33966762499125,Entire home/apt,False,4.0,True,10.0,100.0,1,2.440272849367481,0.1137055755054335,7.73968917295625,4.032756044525551
974,336.34854965757427,Entire home/apt,False,4.0,True,10.0,96.0,1,2.7601481182155028,0.1786572377339718,6.278160279500658,2.929991875138296
975,286.3286819531122,Entire home/apt,False,4.0,False,10.0,95.0,2,3.0104057366611703,0.4541053241456104,7.508840851794915,3.5040177277655085
